r, x, y, z
4.500000000000000000e-03 2.092099305641226259e-02 2.678748802163996579e-02 3.714272043745728193e-03
4.500000000000000000e-03 5.339478886935815349e-02 2.531123212115491197e-02 3.762987012987012696e-03
4.500000000000000000e-03 6.418690909090908614e-02 3.464592613636363616e-02 3.285844155844155727e-03
4.500000000000000000e-03 6.187587616972999027e-02 2.192796864458197020e-02 4.879870129870129102e-03
4.500000000000000000e-03 7.323609135862516051e-02 2.516297102493660759e-02 8.454529180093088570e-03
4.500000000000000000e-03 2.394561935862746238e-02 3.284268364011418140e-02 9.876623376623377623e-03
4.500000000000000000e-03 2.729860865425338609e-02 2.421305226361318910e-02 9.977302513999761549e-03
4.500000000000000000e-03 4.534930561612960515e-02 2.519959726612863715e-02 1.024024595362175126e-02
4.500000000000000000e-03 3.643603320243046090e-02 2.260254393179982058e-02 1.020135654990888922e-02
4.500000000000000000e-03 6.675055891338396719e-02 2.197053654530472036e-02 1.350001595456140797e-02
4.500000000000000000e-03 6.846840265279525647e-03 3.332324664720631713e-02 1.421770172955007239e-02
4.500000000000000000e-03 4.794969402069414882e-02 3.318162513441264005e-02 1.545126877730564237e-02
4.500000000000000000e-03 2.147848950614084443e-02 2.193849549133908630e-02 1.632142857142857006e-02
4.500000000000000000e-03 5.727546125629547763e-02 3.452811882041240815e-02 1.608492316309027836e-02
4.500000000000000000e-03 2.384943181818181650e-03 2.260511363636363152e-02 1.597907647907647818e-02
4.500000000000000000e-03 3.176168034470575746e-02 2.434994286855252793e-02 1.744480519480519354e-02
4.500000000000000000e-03 2.330713663783247347e-02 3.087778791203783790e-02 1.819808080808080555e-02
4.500000000000000000e-03 5.625858404708194288e-02 2.743456173602631942e-02 2.155190155906146557e-02
4.500000000000000000e-03 8.562558084057441191e-03 3.016975420780861408e-02 2.208441558441558497e-02
4.500000000000000000e-03 6.515261645293120296e-02 2.460831133496077863e-02 2.233973538198890524e-02
4.500000000000000000e-03 1.204197774191554174e-02 2.168548932895310657e-02 2.374349212734168380e-02
4.500000000000000000e-03 7.515175189393939748e-02 2.542708333333333279e-02 2.396681096681096274e-02
4.500000000000000000e-03 5.026613946399120791e-02 2.174845669442427090e-02 2.560712874082439472e-02
4.500000000000000000e-03 2.370457729541802783e-02 2.772221206542807917e-02 2.613159580145881303e-02
4.500000000000000000e-03 4.236913070225335060e-02 2.649179107484235518e-02 2.701836693373441470e-02
3.500000000000000000e-03 5.891556280902467829e-02 2.899391129567853095e-02 2.704575241272489262e-03
3.500000000000000000e-03 6.586303352898423280e-02 2.767364966746884564e-02 2.717500791891036115e-03
3.500000000000000000e-03 7.236856369139599288e-02 3.035393023161828130e-02 2.749877810361681368e-03
3.500000000000000000e-03 1.192537188715094183e-02 2.843737501380776828e-02 2.808523135156300917e-03
3.500000000000000000e-03 4.458400120357743079e-02 2.253036430260901141e-02 2.801898356745295346e-03
3.500000000000000000e-03 3.753864890335029125e-02 2.205529868905890464e-02 2.750052086950482196e-03
3.500000000000000000e-03 5.442935226394152171e-02 3.451827026173318741e-02 3.034931586270871954e-03
3.500000000000000000e-03 3.485116305738385906e-02 3.217619191302325404e-02 2.858053322339036261e-03
