r x y z
3.500000000000000073e-03 9.676923562387214350e-02 3.330946153493357514e-02 3.500000000000000073e-03
3.500000000000000073e-03 1.005059561842378824e-01 2.586859972189643753e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.963691073931148723e-02 1.448289522102857302e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.813992029728194566e-02 2.193981342189987166e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.254526347442303624e-02 2.927285121589646988e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.319570351948954445e-02 3.683404032803915679e-02 3.500000000000000073e-03
3.500000000000000073e-03 6.809412660868978395e-02 2.958035752916283317e-02 3.500000000000000073e-03
3.500000000000000073e-03 7.037037820162618529e-02 2.070746093115260686e-02 3.500000000000000073e-03
3.500000000000000073e-03 3.643298117497797972e-02 3.752896509308656370e-02 3.500000000000000073e-03
3.500000000000000073e-03 5.573560540269158203e-02 3.326947241591732274e-02 3.500000000000000073e-03
3.500000000000000073e-03 5.334137036409659222e-02 2.247365752442213524e-02 3.500000000000000073e-03
3.500000000000000073e-03 4.314885550047610485e-02 2.937282658073266453e-02 3.500000000000000073e-03
3.500000000000000073e-03 3.291886392704375386e-02 2.277857197013963275e-02 3.500000000000000073e-03
3.500000000000000073e-03 2.628015548329429296e-02 3.076441627278777430e-02 3.500000000000000073e-03
3.500000000000000073e-03 1.980879581649423737e-02 1.965020738530859346e-02 3.500000000000000073e-03
3.500000000000000073e-03 1.120438481132050856e-02 3.600264154792118948e-02 3.500000000000000073e-03
3.500000000000000073e-03 1.345804438008303683e-02 2.608768890839169644e-02 3.500000000000000073e-03
3.500000000000000073e-03 9.542293213767884252e-02 1.959380904013178701e-02 3.500000000000000073e-03
3.500000000000000073e-03 9.046887927091185055e-02 2.957697635941827427e-02 3.500000000000000073e-03
3.500000000000000073e-03 7.612470270935736694e-02 3.772773675825441542e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.254351537041981768e-02 1.688729869125311228e-02 3.500000000000000073e-03
3.500000000000000073e-03 7.742258225750181522e-02 2.312982843140429234e-02 3.500000000000000073e-03
3.500000000000000073e-03 7.509925891848158452e-02 2.981094661642325061e-02 3.500000000000000073e-03
3.500000000000000073e-03 6.261134076604396581e-02 2.005288821138297845e-02 3.500000000000000073e-03
3.500000000000000073e-03 6.124496005353986805e-02 2.695191345731837509e-02 3.500000000000000073e-03
3.500000000000000073e-03 6.286311883726547478e-02 3.421991408320872174e-02 3.500000000000000073e-03
3.500000000000000073e-03 4.968196445776023457e-02 3.757564074411010729e-02 3.500000000000000073e-03
3.500000000000000073e-03 4.554382856654933670e-02 2.229867975795583879e-02 3.500000000000000073e-03
3.500000000000000073e-03 3.464083257490298273e-02 3.032091483069614818e-02 3.500000000000000073e-03
3.500000000000000073e-03 2.933495656680307206e-02 3.821976225826607260e-02 3.500000000000000073e-03
3.500000000000000073e-03 2.169454410308507830e-02 3.772064457667100024e-02 3.500000000000000073e-03
3.500000000000000073e-03 2.578477441171922457e-02 2.344702037779811121e-02 3.500000000000000073e-03
3.500000000000000073e-03 1.829501975796854474e-02 3.127827776724768916e-02 3.500000000000000073e-03
3.500000000000000073e-03 8.829797654773860471e-03 1.944350710935112414e-02 3.500000000000000073e-03
3.500000000000000073e-03 5.023470021061799545e-02 2.892759171870701654e-02 3.500000000000000073e-03
4.499999999999999660e-03 9.224704267899726251e-02 3.375915097528308512e-02 1.008388565943864855e-02
4.499999999999999660e-03 7.909515869721187031e-02 3.331817359156410974e-02 9.477636983222318887e-03
4.499999999999999660e-03 8.680473297251087295e-02 1.779305110675271848e-02 1.020981647360389225e-02
3.500000000000000073e-03 9.463859766570280330e-02 2.542537516183031310e-02 7.291787969326349317e-03
4.499999999999999660e-03 7.172546909919740032e-02 2.578351867546732970e-02 9.533022993135471801e-03
4.499999999999999660e-03 6.740580729377443348e-02 3.407299809364210813e-02 1.008349430615001867e-02
3.500000000000000073e-03 5.901325215601543189e-02 3.589027743646425878e-02 9.102536283211788704e-03
4.499999999999999660e-03 5.837744074657089111e-02 2.279916798237851747e-02 9.707417985324214016e-03
4.499999999999999660e-03 5.122196928616722100e-02 3.333238095879837576e-02 1.010478095948961520e-02
4.499999999999999660e-03 3.924650343823959942e-02 3.300261727465268052e-02 9.466260797240463529e-03
4.499999999999999660e-03 2.909449349850136424e-02 2.036645950891470200e-02 1.009968971237970581e-02
4.499999999999999660e-03 2.568515104266982929e-02 3.536173703941210972e-02 1.002001621810861415e-02
3.500000000000000073e-03 2.205294521582093492e-02 2.737512820516380119e-02 7.932089772243270873e-03
4.499999999999999660e-03 1.314352434285978588e-02 3.122980248271909828e-02 9.620436678449230394e-03
3.500000000000000073e-03 3.929162614121400193e-02 2.412446434229726169e-02 6.064463976002078607e-03
3.500000000000000073e-03 4.939408166508978126e-02 2.454826947767477924e-02 8.895822195932108489e-03
